Tags,Device Name,IP Address,Device Family,Site,Reachability,Support Type,MAC Address,Platform,Serial Number,Uptime,Last Updated,Resync Interval,Manageability,Device Role,Device Series,AP LED Flash Status,Advisories,Template Provision Status,Software Image,Template Conflict Status,Image Version,OS Update Status,Image Needs Update,Image Precheck Status,Provisioning Status,Credential Status,Last Provisioned,Associated WLC IP,AP CDP Neighbors,AP Group Name,Flex Group Name,AP Ethernet Mac Address,AP Location,RF Profile,Policy Tag,Site Tag,Application Telemetry,Replacement Serial Number,Replace Status,Compliance,Integrity Verification,EoX Status,Health Score
"Edge-Node,Physics DP",001-m01-a-1.net.uwa.edu.au,10.88.24.58,Switches and Hubs,Global/CRAWLEY/001/Mezzanine,Reachable,Supported,74:ad:98:60:e2:00,C9300L-24P-4X,FOC2529LJP2,77 days 22 hrs ,about 23 hours,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,10
"Edge-Node,Physics DP",101-303-a-1.net.uwa.edu.au,10.88.24.36,Switches and Hubs,Global/CRAWLEY/101/Third Floor,Reachable,Supported,5c:5a:c7:f6:08:80,C9300L-24P-4X,FOC2326L05H,117 days 4 hrs ,about 23 hours,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Success,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,10
"Edge-Node,Physics DP",101-g11a-a-1.net.uwa.edu.au,10.88.24.34,Switches and Hubs,Global/CRAWLEY/101/Ground Floor,Reachable,Supported,80:24:8f:87:25:00,C9300L-48P-4X,FOC2542YPWU,117 days 4 hrs ,about 22 hours,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Success,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,8
"Edge-Node,Physics DP",102-142-a-1.net.uwa.edu.au,10.88.24.49,Switches and Hubs,Global/CRAWLEY/102/First Floor,Reachable,Supported,3c:8b:7f:fa:b5:00,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-24P-4X","FOC2629YKD1, FOC2629YNHR, FOC2629YNG0, FOC2529LH7S",117 days 3 hrs ,8 minutes,24:00:00,Managed (Syncing...),ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,8
"Edge-Node,Physics DP",102-b02a-a-1.net.uwa.edu.au,10.88.24.48,Switches and Hubs,Global/CRAWLEY/102/Basement 1,Reachable,Supported,88:fc:5d:5f:20:80,C9300L-48P-4X,FOC2629YRP5,117 days 3 hrs ,about 2 hours,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,8
"Edge-Node,Physics DP",102-b14-a-1.net.uwa.edu.au,10.88.24.47,Switches and Hubs,Global/CRAWLEY/102/Basement 1,Reachable,Supported,44:88:16:0e:77:00,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X","FOC2629YRAJ, FOC2629YNH4, FOC2629YQN3, FOC2629YSJ8",117 days 3 hrs ,less than a minute,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,8
"Aggregation Switch,Physics DP",102-b14-g-1.net.uwa.edu.au,10.88.24.45,Switches and Hubs,Global/CRAWLEY/102/Basement 1,Reachable,Supported,c0:f8:7f:70:9d:40,C9500-24Y4C,FDO26161SJF,117 days 3 hrs ,about 23 hours,24:00:00,Managed,DISTRIBUTION,Cisco Catalyst 9500 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Not Provisioned,,,NON_COMPLIANT,PASSED,1,10
"Edge-Node,Physics DP",103-g47-a-1.net.uwa.edu.au,10.88.24.12,Switches and Hubs,Global/CRAWLEY/103/Ground,Reachable,Supported,ac:bc:d9:03:27:80,C9300L-24P-4X,FOC2604YHNN,6 hrs 24 mins ,35 minutes,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Success,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,10
"Edge-Node,Physics DP",103-g62-a-1.net.uwa.edu.au,10.88.24.10,Switches and Hubs,Global/CRAWLEY/103/Ground,Reachable,Supported,80:24:8f:82:b9:80,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X","FOC2542YFSU, FOC2604YKAW, FOC2604YKB9, FOC2542YKXG",6 hrs 25 mins ,9 minutes,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Success,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,8
"Edge-Node,Physics DP",104-160-a-1.net.uwa.edu.au,10.88.24.107,Switches and Hubs,Global/CRAWLEY/104/First Floor,Reachable,Supported,44:88:16:0e:eb:00,"C9300L-48P-4X, C9300L-48P-4X","FOC2629YS2X, FOC2629YQUB",1 day 2 hrs ,about 1 hour,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,10
"Edge-Node,Physics DP",104-b15-a-1.net.uwa.edu.au,10.88.24.106,Switches and Hubs,Global/CRAWLEY/104/Basement,Reachable,Supported,3c:8b:7f:f8:af:80,"C9300L-48P-4X, C9300L-48P-4X, C9300L-24P-4X","FOC2629YJVP, FOC2629YQHU, FOC2617Z3RV",109 days 2 hrs ,1 minute,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,10
"Aggregation Switch,Physics DP",104-b15-g-1.net.uwa.edu.au,10.88.24.104,Switches and Hubs,Global/CRAWLEY/104/Basement,Reachable,Supported,48:2e:72:13:df:60,C9500-24Y4C,FDO26161SP8,109 days 2 hrs ,about 23 hours,24:00:00,Managed,DISTRIBUTION,Cisco Catalyst 9500 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Not Provisioned,,,NON_COMPLIANT,PASSED,1,10
"Edge-Node,Physics DP",106-158a-a-1.net.uwa.edu.au,10.88.24.78,Switches and Hubs,Global/CRAWLEY/106/First Floor,Reachable,Supported,88:fc:5d:83:11:00,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X","FOC2629YRZT, FOC2629YRZY, FOC2629YND1, FOC2629YNHV",117 days 3 hrs ,about 1 hour,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,2,8
"Edge-Node,Physics DP",106-158a-a-2.net.uwa.edu.au,10.88.24.93,Switches and Hubs,Global/CRAWLEY/106/First Floor,Reachable,Supported,44:88:16:0e:db:80,C9300L-48P-4X,FOC2629YS00,117 days 3 hrs ,26 minutes,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,10
"Edge-Node,Physics DP",106-301-a-1.net.uwa.edu.au,10.88.24.76,Switches and Hubs,Global/CRAWLEY/106/Third Floor,Reachable,Supported,44:88:16:0e:7e:00,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-24P-4X","FOC2629YP2Y, FOC2630Y5V0, FOC2629YNH9, FOC2617ZAFN",3 days 5 hrs ,14 minutes,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,8
