Tags,AP LED Flash Status,Device Name,IP Address,Device Family,Reachability,EoX Status,Manageability,Compliance,Health Score,Site,MAC Address,Device Role,Image Version,Uptime,Last Updated,Resync Interval,Serial Number,Device Series,Platform,Support Type,Software Image,OS Update Status,Image Needs Update,Image Precheck Status,Provisioning Status,Credential Status,Last Provisioned,Associated WLC IP,AP CDP Neighbors,AP Group Name,Flex Group Name,AP Ethernet Mac Address,AP Location,Application Telemetry,Advisories,Integrity Verification
Edge-Node,Unsupported,275-g86-a-1.net.uwa.edu.au,10.88.24.21,Switches and Hubs,Reachable,1,Managed,NON_COMPLIANT,8,Global/CRAWLEY/275/Ground Floor,4c:71:0c:32:61:00,ACCESS,17.9.3,12 days 26 mins ,3 minutes ago,24:00:00,"FCW2336C1C7, FOC2330X0UQ, FOC2330X0VM, FOC2330X0US, FJC2406T072",Cisco Catalyst 9300 Series Switches,"C9300-48UXM, C9300-48UN, C9300-48UN, C9300-48UN, C9300-48UN",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,275-g86-a-2.net.uwa.edu.au,10.88.24.22,Switches and Hubs,Reachable,1,Managed,NON_COMPLIANT,8,Global/CRAWLEY/275/Ground Floor,10:b3:d6:11:e9:80,ACCESS,17.9.3,12 days 21 mins ,38 minutes ago,24:00:00,"FOC2330X0UU, FCW2336G0Y0, FCW2330D0S6, FCW2336G0Y3, FJC2406E0AV, FOC2330W0U4, FJC2406S0DZ, FOC2330X0U5",Cisco Catalyst 9300 Series Switches,"C9300-48UN, C9300-48UXM, C9300-48UN, C9300-48UXM, C9300-48UN, C9300-48UN, C9300-48UN, C9300-48UN",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,275-g86-a-3.net.uwa.edu.au,10.88.24.23,Switches and Hubs,Reachable,2,Managed,COMPLIANT,10,Global/CRAWLEY/275/Ground Floor,08:4f:f9:7b:85:00,ACCESS,17.9.3,12 days 30 mins ,13 hours ago,24:00:00,FCW2330G0TE,Cisco Catalyst 9300 Series Switches,C9300-48UN,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
Aggregation Switch,Unsupported,275-g86-g-1.net.uwa.edu.au,10.88.24.19,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/275/Ground Floor,48:2e:72:13:ea:00,DISTRIBUTION,17.9.3,12 days 31 mins ,13 hours ago,24:00:00,FDO26161SVT,Cisco Catalyst 9500 Series Switches,C9500-24Y4C,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,,PASSED
Edge-Node,Unsupported,329-113-a-1.net.uwa.edu.au,10.88.40.20,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/329/First Floor,80:24:8f:84:17:80,ACCESS,17.9.3,12 days 31 mins ,13 hours ago,24:00:00,FOC2542YPGA,Cisco Catalyst 9300 Series Switches,C9300L-48P-4X,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
Aggregation Switch,Unsupported,329-113-g-1.net.uwa.edu.au,10.88.40.18,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/329/First Floor,c0:f8:7f:70:31:20,DISTRIBUTION,17.9.3,12 days 31 mins ,13 hours ago,24:00:00,FDO26160PD5,Cisco Catalyst 9500 Series Switches,C9500-24Y4C,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,,PASSED
Edge-Node,Unsupported,329-155-a-1.net.uwa.edu.au,10.88.40.21,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/329/First Floor,80:24:8f:87:35:00,ACCESS,17.9.3,12 days 30 mins ,13 hours ago,24:00:00,FOC2542YQX8,Cisco Catalyst 9300 Series Switches,C9300L-48P-4X,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,329-192-a-1.net.uwa.edu.au,10.88.40.22,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/329/First Floor,80:24:8f:59:a0:00,ACCESS,17.9.3,12 days 30 mins ,13 hours ago,24:00:00,FOC2542YFSN,Cisco Catalyst 9300 Series Switches,C9300L-48P-4X,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,329-226-a-1.net.uwa.edu.au,10.88.40.23,Switches and Hubs,Reachable,,Managed (Syncing...),COMPLIANT,8,Global/CRAWLEY/329/Second Floor,80:24:8f:86:7c:00,ACCESS,17.9.3,11 days 20 hrs ,5 minutes ago,24:00:00,"FOC2542YFYT, FOC2542YKYF, FOC2529LJQ8",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-24P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,330-184a-a-1.net.uwa.edu.au,10.88.40.26,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/330/First Floor,cc:ed:4d:f2:65:80,ACCESS,17.9.3,12 days 2 hrs ,13 hours ago,24:00:00,FOC2604YHZ0,Cisco Catalyst 9300 Series Switches,C9300L-24P-4X,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
