Tags,AP LED Flash Status,Device Name,IP Address,Device Family,Reachability,EoX Status,Manageability,Compliance,Health Score,Site,MAC Address,Device Role,Image Version,Uptime,Last Updated,Resync Interval,Serial Number,Device Series,Platform,Support Type,Software Image,OS Update Status,Image Needs Update,Image Precheck Status,Provisioning Status,Credential Status,Last Provisioned,Associated WLC IP,AP CDP Neighbors,AP Group Name,Flex Group Name,AP Ethernet Mac Address,AP Location,Application Telemetry,Advisories,Integrity Verification
Edge-Node,Unsupported,352-2205-a-1.net.uwa.edu.au,10.88.24.81,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/352/Second Floor,3c:8b:7f:fb:73:00,ACCESS,17.9.3,10 days 4 hrs ,12 minutes ago,24:00:00,"FOC2629YQJL, FOC2629YRBD, FOC2629YS12",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,352-2205-a-2.net.uwa.edu.au,10.88.24.82,Switches and Hubs,Reachable,,Managed (Syncing...),COMPLIANT,10,Global/CRAWLEY/352/Second Floor,3c:8b:7f:fb:6e:00,ACCESS,17.9.3,10 days 4 hrs ,12 minutes ago,24:00:00,"FOC2629YNHH, FOC2629YP5H, FOC2629YNGZ, FOC2629YQXK, FOC2629YS3A",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,3 months ago,,,,,,,Enabled,,PASSED
Aggregation Switch,Unsupported,352-2205-g-1.net.uwa.edu.au,10.88.24.79,Switches and Hubs,Reachable,,Managed,COMPLIANT,8,Global/CRAWLEY/352/Second Floor,80:6a:00:6d:5f:20,DISTRIBUTION,17.9.3,10 days 4 hrs ,13 hours ago,24:00:00,FDO261404ZM,Cisco Catalyst 9500 Series Switches,C9500-24Y4C,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,3 months ago,,,,,,,Not Provisioned,,PASSED
Edge-Node,Unsupported,410-g11-a-1.net.uwa.edu.au,10.88.40.62,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/410/Ground Floor,3c:8b:7f:d5:2b:00,ACCESS,17.9.3,11 days 22 hrs ,23 minutes ago,24:00:00,"FOC2629YQJ1, FOC2617ZC39",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-24P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,21 days ago,,,,,,,Enabled,,PASSED
Extended Edge-Node,Unsupported,441-124-e-1.net.uwa.edu.au,10.88.191.226,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,c4:b9:cd:c5:0a:00,ACCESS,15.2(7)E5,413 days 4 hrs ,13 hours ago,24:00:00,FOC2104Y07W,Cisco Catalyst 3560-CX Series Switches,WS-C3560CX-8XPD-S,Supported,c3560cx-universalk9-mz.152-7.E5.bin,Activation Success,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,4,UNSUPPORTED
Extended Edge-Node,Unsupported,441-124-e-2.net.uwa.edu.au,10.88.191.221,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,c4:b9:cd:53:2e:80,ACCESS,15.2(7)E5,413 days 4 hrs ,8 hours ago,24:00:00,FOC2104Y0AF,Cisco Catalyst 3560-CX Series Switches,WS-C3560CX-8XPD-S,Supported,c3560cx-universalk9-mz.152-7.E5.bin,Activation Success,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,4,UNSUPPORTED
Extended Edge-Node,Unsupported,441-124-e-3.net.uwa.edu.au,10.88.191.231,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,c4:b9:cd:c4:a4:80,ACCESS,15.2(7)E5,112 days 12 hrs ,8 hours ago,24:00:00,FOC2104Y0A1,Cisco Catalyst 3560-CX Series Switches,WS-C3560CX-8XPD-S,Supported,c3560cx-universalk9-mz.152-7.E5.bin,Activation Success,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,4,UNSUPPORTED
Extended Edge-Node,Unsupported,441-124-e-4.net.uwa.edu.au,10.88.191.241,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,c4:b9:cd:c5:44:80,ACCESS,15.2(7)E5,112 days 12 hrs ,7 hours ago,24:00:00,FOC2104Y08Y,Cisco Catalyst 3560-CX Series Switches,WS-C3560CX-8XPD-S,Supported,c3560cx-universalk9-mz.152-7.E5.bin,Activation Success,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,4,UNSUPPORTED
Extended Edge-Node,Unsupported,441-124-e-5.net.uwa.edu.au,10.88.191.228,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,c4:b9:cd:c4:b9:00,ACCESS,15.2(7)E5,112 days 12 hrs ,13 hours ago,24:00:00,FOC2104Y0BC,Cisco Catalyst 3560-CX Series Switches,WS-C3560CX-8XPD-S,Supported,c3560cx-universalk9-mz.152-7.E5.bin,Activation Success,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,4,UNSUPPORTED
Extended Edge-Node,Unsupported,441-124-e-6.net.uwa.edu.au,10.88.191.223,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,c4:b9:cd:c5:19:00,ACCESS,15.2(7)E5,112 days 12 hrs ,8 hours ago,24:00:00,FOC2104Y085,Cisco Catalyst 3560-CX Series Switches,WS-C3560CX-8XPD-S,Supported,c3560cx-universalk9-mz.152-7.E5.bin,Activation Success,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,4,UNSUPPORTED
Extended Edge-Node,Unsupported,441-124-e-7.net.uwa.edu.au,10.88.191.239,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,c4:b9:cd:c4:c6:00,ACCESS,15.2(7)E5,413 days 4 hrs ,13 hours ago,24:00:00,FOC2104Y0BV,Cisco Catalyst 3560-CX Series Switches,WS-C3560CX-8XPD-S,Supported,c3560cx-universalk9-mz.152-7.E5.bin,Activation Success,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,4,UNSUPPORTED
Extended Edge-Node,Unsupported,441-124-e-8.net.uwa.edu.au,10.88.191.214,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,c4:b9:cd:c5:47:00,ACCESS,15.2(7)E5,413 days 4 hrs ,8 hours ago,24:00:00,FOC2104Y09F,Cisco Catalyst 3560-CX Series Switches,WS-C3560CX-8XPD-S,Supported,c3560cx-universalk9-mz.152-7.E5.bin,Activation Success,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,4,UNSUPPORTED
Extended Edge-Node,Unsupported,441-124-e-9.net.uwa.edu.au,10.88.191.222,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,c4:b9:cd:c5:0c:80,ACCESS,15.2(7)E5,112 days 12 hrs ,8 hours ago,24:00:00,FOC2104Y07Y,Cisco Catalyst 3560-CX Series Switches,WS-C3560CX-8XPD-S,Supported,c3560cx-universalk9-mz.152-7.E5.bin,Activation Success,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,4,UNSUPPORTED
Extended Edge-Node,Unsupported,441-124-e-10.net.uwa.edu.au,10.88.191.229,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,c4:b9:cd:c5:38:80,ACCESS,15.2(7)E5,112 days 12 hrs ,8 hours ago,24:00:00,FOC2104Y08R,Cisco Catalyst 3560-CX Series Switches,WS-C3560CX-8XPD-S,Supported,c3560cx-universalk9-mz.152-7.E5.bin,Activation Success,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,4,UNSUPPORTED
Edge-Node,Unsupported,441-1187-a-1.net.uwa.edu.au,10.88.40.5,Switches and Hubs,Reachable,1,Managed,COMPLIANT,8,Global/CRAWLEY/441/First Floor,80:24:8f:82:b4:80,ACCESS,17.9.3,12 days 2 hrs ,13 hours ago,24:00:00,"FOC2542YG9U, FOC2542Y8G5, FOC2542YLCX, FOC2604YJXA",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,,PASSED
Edge-Node,Unsupported,441-1187-a-3.net.uwa.edu.au,10.88.40.9,Switches and Hubs,Reachable,,Managed (Syncing...),COMPLIANT,8,Global/CRAWLEY/441/First Floor,80:24:8f:97:8b:80,ACCESS,17.9.3,12 days 2 hrs ,5 minutes ago,24:00:00,"FOC2542YLDK, FOC2542YPG1, FOC2542YCWD, FOC2542YPQD",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,441-1187-a-4.net.uwa.edu.au,10.88.40.15,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,04:bd:97:ed:79:80,ACCESS,17.9.3,12 days 2 hrs ,13 hours ago,24:00:00,FDO261529CT,Cisco Catalyst 9500 Series Switches,C9500-24Y4C,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,,PASSED
Edge-Node,Unsupported,441-1187-a-5.net.uwa.edu.au,10.88.40.16,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,c0:f8:7f:70:67:80,ACCESS,17.9.3,12 days 2 hrs ,13 hours ago,24:00:00,FDO26161SW4,Cisco Catalyst 9500 Series Switches,C9500-24Y4C,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,,PASSED
Edge-Node,Unsupported,441-1187-a-6.net.uwa.edu.au,10.88.40.17,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,c0:f8:7f:70:85:80,ACCESS,17.9.3,12 days 2 hrs ,13 hours ago,24:00:00,FDO26161SJE,Cisco Catalyst 9500 Series Switches,C9500-24Y4C,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,,PASSED
Aggregation Switch,Unsupported,441-1187-g-1.net.uwa.edu.au,10.88.40.3,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,14:a2:a0:1e:a4:e0,DISTRIBUTION,17.9.3,12 days 2 hrs ,13 hours ago,24:00:00,FDO25461GKK,Cisco Catalyst 9500 Series Switches,C9500-24Y4C,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,,PASSED
Edge-Node,Unsupported,441-1190-a-1.net.uwa.edu.au,10.88.40.7,Switches and Hubs,Reachable,1,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,80:24:8f:86:b0:00,ACCESS,17.9.3,12 days 2 hrs ,27 minutes ago,24:00:00,"FOC2542YKWT, FOC2542YLF7, FOC2542Y8TE, FOC2542YPHN",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,441-1190-a-2.net.uwa.edu.au,10.88.40.8,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,80:24:8f:84:03:80,ACCESS,17.9.3,12 days 2 hrs ,13 hours ago,24:00:00,"FOC2542YNPZ, FOC2542YAGS, FOC2542YNV6, FOC2542YPFW, FOC2542YFZZ, FOC2529LJPH",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-24P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
Extended Edge-Node,Unsupported,441-g04-e-1.net.uwa.edu.au,10.88.191.227,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,2c:ab:eb:54:10:00,ACCESS,15.2(7)E5,73 days 1 min ,4 hours ago,24:00:00,FOC2106Z0VH,Cisco Catalyst 3560-CX Series Switches,WS-C3560CX-8XPD-S,Supported,c3560cx-universalk9-mz.152-7.E5.bin,Activation Success,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,4,UNSUPPORTED
Extended Edge-Node,Unsupported,441-g04-e-2.net.uwa.edu.au,10.88.191.225,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,c4:b9:cd:70:aa:00,ACCESS,15.2(7)E5,112 days 11 hrs ,13 hours ago,24:00:00,FOC2106Z0UQ,Cisco Catalyst 3560-CX Series Switches,WS-C3560CX-8XPD-S,Supported,c3560cx-universalk9-mz.152-7.E5.bin,Activation Success,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,4,UNSUPPORTED
Extended Edge-Node,Unsupported,441-g04-e-3.net.uwa.edu.au,10.88.191.230,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,2c:ab:eb:a8:94:80,ACCESS,15.2(7)E5,112 days 11 hrs ,13 hours ago,24:00:00,FOC2106Z0N7,Cisco Catalyst 3560-CX Series Switches,WS-C3560CX-8XPD-S,Supported,c3560cx-universalk9-mz.152-7.E5.bin,Activation Success,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,4,UNSUPPORTED
Extended Edge-Node,Unsupported,441-g04-e-4.net.uwa.edu.au,10.88.191.215,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,2c:ab:eb:54:e2:00,ACCESS,15.2(7)E5,112 days 11 hrs ,13 hours ago,24:00:00,FOC2106Z0UW,Cisco Catalyst 3560-CX Series Switches,WS-C3560CX-8XPD-S,Supported,c3560cx-universalk9-mz.152-7.E5.bin,Activation Success,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,4,UNSUPPORTED
Extended Edge-Node,Unsupported,441-g04-e-5.net.uwa.edu.au,10.88.191.220,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,2c:ab:eb:54:be:00,ACCESS,15.2(7)E5,112 days 11 hrs ,13 hours ago,24:00:00,FOC2106Z0UD,Cisco Catalyst 3560-CX Series Switches,WS-C3560CX-8XPD-S,Supported,c3560cx-universalk9-mz.152-7.E5.bin,Activation Success,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,4,UNSUPPORTED
Extended Edge-Node,Unsupported,441-g05-e-1.net.uwa.edu.au,10.88.191.254,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,2c:ab:eb:a8:47:00,ACCESS,15.2(7)E5,73 days ,13 hours ago,24:00:00,FOC2106Z0LT,Cisco Catalyst 3560-CX Series Switches,WS-C3560CX-8XPD-S,Supported,c3560cx-universalk9-mz.152-7.E5.bin,Activation Success,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,4,UNSUPPORTED
Extended Edge-Node,Unsupported,441-g05-e-2.net.uwa.edu.au,10.88.191.233,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,2c:ab:eb:55:04:80,ACCESS,15.2(7)E5,112 days 11 hrs ,13 hours ago,24:00:00,FOC2106Z0V6,Cisco Catalyst 3560-CX Series Switches,WS-C3560CX-8XPD-S,Supported,c3560cx-universalk9-mz.152-7.E5.bin,Activation Success,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,4,UNSUPPORTED
Extended Edge-Node,Unsupported,441-g05-e-3.net.uwa.edu.au,10.88.191.250,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,2c:ab:eb:54:fb:80,ACCESS,15.2(7)E5,112 days 11 hrs ,13 hours ago,24:00:00,FOC2106Z0V2,Cisco Catalyst 3560-CX Series Switches,WS-C3560CX-8XPD-S,Supported,c3560cx-universalk9-mz.152-7.E5.bin,Activation Success,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,4,UNSUPPORTED
Extended Edge-Node,Unsupported,441-G05-e-4.net.uwa.edu.au,10.88.191.219,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,2c:31:24:65:00:00,ACCESS,15.2(7)E5,112 days 11 hrs ,13 hours ago,24:00:00,FOC2106Z0V1,Cisco Catalyst 3560-CX Series Switches,WS-C3560CX-8XPD-S,Supported,c3560cx-universalk9-mz.152-7.E5.bin,Activation Success,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,4,UNSUPPORTED
Extended Edge-Node,Unsupported,441-g05-e-5.net.uwa.edu.au,10.88.191.224,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,2c:ab:eb:54:fc:00,ACCESS,15.2(7)E5,112 days 11 hrs ,13 hours ago,24:00:00,FOC2106Z0V3,Cisco Catalyst 3560-CX Series Switches,WS-C3560CX-8XPD-S,Supported,c3560cx-universalk9-mz.152-7.E5.bin,Activation Success,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,4,UNSUPPORTED
Edge-Node,Unsupported,446-193-a-1.net.uwa.edu.au,10.88.40.44,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/446/First Floor,3c:8b:7f:fa:a7:00,ACCESS,17.9.3,11 days 22 hrs ,an hour ago,24:00:00,"FOC2629YK4H, FOC2629YSJC, FOC2629YQU8, FOC2629YQMY",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,3 months ago,,,,,,,Enabled,,PASSED
Aggregation Switch,Unsupported,446-193-g-1.net.uwa.edu.au,10.88.40.42,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/446/First Floor,c0:f8:7f:70:9a:c0,DISTRIBUTION,17.9.3,11 days 23 hrs ,13 hours ago,24:00:00,FDO26161SVN,Cisco Catalyst 9500 Series Switches,C9500-24Y4C,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,3 months ago,,,,,,,Not Provisioned,,PASSED
Edge-Node,Unsupported,446-293-a-1.net.uwa.edu.au,10.88.40.45,Switches and Hubs,Reachable,,Managed (Syncing...),COMPLIANT,10,Global/CRAWLEY/446/Second Floor,88:fc:5d:62:43:80,ACCESS,17.9.3,11 days 22 hrs ,7 minutes ago,24:00:00,"FOC2629YRLA, FOC2629YNFC, FOC2629YQNG, FOC2629YQMU, FOC2629YQJ0",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,446-348-a-1.net.uwa.edu.au,10.88.40.46,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/446/Third Floor,88:fc:5d:5f:37:80,ACCESS,17.9.3,11 days 23 hrs ,35 minutes ago,24:00:00,"FOC2629YRV5, FOC2529LJQB",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-24P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,446-g93-a-1.net.uwa.edu.au,10.88.40.47,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/446/Ground Floor,88:fc:5d:5f:22:80,ACCESS,17.9.3,11 days 22 hrs ,an hour ago,24:00:00,"FOC2629YNXG, FOC2629YS5R, FOC2629YR87",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Failed,Not Applied,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,499-101h-a-1.net.uwa.edu.au,10.88.72.3,Switches and Hubs,Reachable,1,Managed,COMPLIANT,8,Global/CRAWLEY/499/First Floor,ac:bc:d9:04:0c:80,ACCESS,17.9.3,12 days 2 hrs ,an hour ago,24:00:00,"FOC2604YGSE, FOC2542Y9JL, FOC2542YGR2, FOC2604YJWU, FOC2542YAFF, FOC2542YMYH",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,499-101h-a-2.net.uwa.edu.au,10.88.72.4,Switches and Hubs,Reachable,,Managed,NON_COMPLIANT,10,Global/CRAWLEY/499/First Floor,80:24:8f:84:08:80,ACCESS,17.9.3,12 days 2 hrs ,an hour ago,24:00:00,"FOC2542YPGT, FOC2542YFX5, FOC2542YFWG",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,CAT9K[17.9.3],Distribution Pending,OUTDATED,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
Aggregation Switch,Unsupported,499-101h-g-1.net.uwa.edu.au,10.88.72.1,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/499/First Floor,04:bd:97:85:2c:e0,DISTRIBUTION,17.9.3,12 days 3 hrs ,13 hours ago,24:00:00,FDO2615191X,Cisco Catalyst 9500 Series Switches,C9500-24Y4C,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,,PASSED
Edge-Node,Unsupported,501-118-a-1.net.uwa.edu.au,10.88.72.5,Switches and Hubs,Reachable,,Managed,NON_COMPLIANT,10,Global/CRAWLEY/501/First Floor,3c:26:e4:05:e3:80,ACCESS,17.9.3,11 days 20 hrs ,3 hours ago,24:00:00,"FOC2629YNFF, FOC2629YNFN, FOC2629YQT9",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,CAT9K[17.9.3],Distribution Pending,OUTDATED,Success,Success,Not Applied,4 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,507-g15-a-1.net.uwa.edu.au,10.88.72.7,Switches and Hubs,Reachable,1,Managed,COMPLIANT,8,Global/CRAWLEY/507/Ground Floor,3c:8b:7f:fb:6e:80,ACCESS,17.9.3,9 days 3 hrs ,13 hours ago,24:00:00,"FOC2629YQKU, FOC2542YJ19",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,606-131-a-1.net.uwa.edu.au,10.88.56.26,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/606/First Floor,3c:8b:7f:ce:12:00,ACCESS,17.9.3,12 days ,13 hours ago,24:00:00,FOC2629YNZL,Cisco Catalyst 9300 Series Switches,C9300L-48P-4X,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,2 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,655-g04a-a-1.net.uwa.edu.au,10.88.56.28,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/655/Ground Floor,3c:26:e4:05:ed:00,ACCESS,17.9.3,12 days 1 min ,4 hours ago,24:00:00,FOC2629YNHD,Cisco Catalyst 9300 Series Switches,C9300L-48P-4X,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,a month ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,658-155-a-3.net.uwa.edu.au,10.88.56.6,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/658/First Floor,ac:bc:d9:05:ca:00,ACCESS,17.9.3,15 days 15 hrs ,13 hours ago,24:00:00,FOC2604YGTR,Cisco Catalyst 9300 Series Switches,C9300L-48P-4X,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,2 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,658-214-a-1.net.uwa.edu.au,10.88.56.5,Switches and Hubs,Reachable,,Managed (Syncing...),COMPLIANT,8,Global/CRAWLEY/658/Second Floor,ac:bc:d9:0f:2a:80,ACCESS,17.9.3,15 days 14 hrs ,6 minutes ago,24:00:00,"FOC2604YK5P, FOC2604YK46, FOC2604YJWF, FOC2604YK5U, FOC2604YJWC",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,2 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,658-240-a-3.net.uwa.edu.au,10.88.56.4,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/658/Second Floor,ac:bc:d9:0f:05:00,ACCESS,17.9.3,15 days 15 hrs ,6 hours ago,24:00:00,FOC2604YJM0,Cisco Catalyst 9300 Series Switches,C9300L-48P-4X,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,2 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,658-1120c-a-1.net.uwa.edu.au,10.88.56.3,Switches and Hubs,Reachable,,Managed (Syncing...),COMPLIANT,10,Global/CRAWLEY/658/First Floor,cc:ed:4d:f6:6f:00,ACCESS,17.9.3,15 days 14 hrs ,4 minutes ago,24:00:00,"FOC2604YHDE, FOC2604YK4G, FOC2604YGVR",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,2 months ago,,,,,,,Enabled,,PASSED
