Tags,Device Name,IP Address,Device Family,Site,Reachability,Support Type,MAC Address,Platform,Serial Number,Uptime,Last Updated,Resync Interval,Manageability,Device Role,Device Series,AP LED Flash Status,Advisories,Template Provision Status,Software Image,Template Conflict Status,Image Version,OS Update Status,Image Needs Update,Image Precheck Status,Provisioning Status,Credential Status,Last Provisioned,Associated WLC IP,AP CDP Neighbors,AP Group Name,Flex Group Name,AP Ethernet Mac Address,AP Location,AP Zone Name,RF Profile,Policy Tag,Site Tag,Application Telemetry,Replacement Serial Number,Replace Status,Compliance,Integrity Verification,EoX Status,Health Score
"DP-Physics,Edge-Node",272-g16a-a-1.net.uwa.edu.au,10.88.24.87,Switches and Hubs,Global/CRAWLEY/272/Ground Floor,Reachable,Supported,3c:8b:7f:fb:68:80,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X","FOC2629YNG9, FOC2629YQRB, FOC2629YQNA, FOC2629YN51",122 days 6 hrs ,43 minutes,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Not Applied,a day ago,,,,,,,,,,,Enabled,,,COMPLIANT,PASSED,1 alert,8
"DP-Physics,Edge-Node",274-g27-a-1.net.uwa.edu.au,10.88.24.53,Switches and Hubs,Global/CRAWLEY/274/Ground Floor,Reachable,Supported,ac:bc:d9:0e:e2:00,C9300L-24P-4X,FOC2604YHWH,122 days 6 hrs ,3 minutes,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Not Applied,a day ago,,,,,,,,,,,Enabled,,,COMPLIANT,PASSED,1 alert,10
"DP-Physics,Edge-Node",275-g86-a-1.net.uwa.edu.au,10.88.24.21,Switches and Hubs,Global/CRAWLEY/275/Ground Floor,Reachable,Supported,4c:71:0c:32:61:00,"C9300-48UXM, C9300-48UN, C9300-48UN, C9300-48UN, C9300-48UN, C9300-48U","FCW2336C1C7, FOC2330X0UQ, FOC2330X0VM, FOC2330X0US, FJC2406T072, FCW2310L0BX",73 days 4 hrs ,1 minute,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Success,a day ago,,,,,,,,,,,Enabled,,,COMPLIANT,PASSED,2 alerts,8
"DP-Physics,Edge-Node",275-g86-a-2.net.uwa.edu.au,10.88.24.22,Switches and Hubs,Global/CRAWLEY/275/Ground Floor,Reachable,Supported,10:b3:d6:11:e9:80,"C9300-48UN, C9300-48UXM, C9300-48UN, C9300-48UXM, C9300-48UN, C9300-48UN, C9300-48UN, C9300-48UN","FOC2330X0UU, FCW2336G0Y0, FCW2330D0S6, FCW2336G0Y3, FJC2406E0AV, FOC2330W0U4, FJC2406S0DZ, FOC2330X0U5",73 days 4 hrs ,5 minutes,24:00:00,Managed (Syncing...),ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Success,a day ago,,,,,,,,,,,Enabled,,,COMPLIANT,PASSED,2 alerts,10
"DP-Physics,Edge-Node",275-g86-a-3.net.uwa.edu.au,10.88.24.23,Switches and Hubs,Global/CRAWLEY/275/Ground Floor,Reachable,Supported,08:4f:f9:7b:85:00,C9300-48UN,FCW2330G0TE,73 days 4 hrs ,about 6 hours,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Success,a day ago,,,,,,,,,,,Enabled,,,COMPLIANT,PASSED,3 alerts,10
Edge-Node,275-g86-a-4.net.uwa.edu.au,10.88.24.140,Switches and Hubs,Global/CRAWLEY/275/Ground Floor,Reachable,Supported,c4:ab:4d:46:1c:80,"C9300L-48P-4X, C9300L-48P-4X","FVH2835L2WN, FVH2835L3GK",4 days 3 hrs ,about 24 hours,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Not Applied,a day ago,,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1 alert,10
"Aggregation Switch,DP-Physics",275-g86-g-1.net.uwa.edu.au,10.88.24.19,Switches and Hubs,Global/CRAWLEY/275/Ground Floor,Reachable,Supported,48:2e:72:13:ea:00,C9500-24Y4C,FDO26161SVT,73 days 4 hrs ,about 6 hours,24:00:00,Managed,DISTRIBUTION,Cisco Catalyst 9500 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Success,a day ago,,,,,,,,,,,Not Provisioned,,,NON_COMPLIANT,PASSED,1 alert,10
"DP-Science,Edge-Node",329-113-a-1.net.uwa.edu.au,10.88.40.20,Switches and Hubs,Global/CRAWLEY/329/First Floor,Reachable,Supported,80:24:8f:84:17:80,C9300L-48P-4X,FOC2542YPGA,122 days 5 hrs ,about 6 hours,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Success,a day ago,,,,,,,,,,,Enabled,,,COMPLIANT,PASSED,1 alert,10
"Aggregation Switch,DP-Science",329-113-g-1.net.uwa.edu.au,10.88.40.18,Switches and Hubs,Global/CRAWLEY/329/First Floor,Reachable,Supported,c0:f8:7f:70:31:20,C9500-24Y4C,FDO26160PD5,122 days 5 hrs ,about 6 hours,24:00:00,Managed,DISTRIBUTION,Cisco Catalyst 9500 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Success,a day ago,,,,,,,,,,,Not Provisioned,,,COMPLIANT,PASSED,1 alert,10
"DP-Science,Edge-Node",329-155-a-1.net.uwa.edu.au,10.88.40.21,Switches and Hubs,Global/CRAWLEY/329/First Floor,Reachable,Supported,80:24:8f:87:35:00,C9300L-48P-4X,FOC2542YQX8,122 days 5 hrs ,about 6 hours,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Success,a day ago,,,,,,,,,,,Enabled,,,COMPLIANT,PASSED,1 alert,10
